step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_ratio,selector_budget,selector_entropy
100200,0.05477516911923885,,1.1491272412394435e-06,5.745636206197217e-07,5.0,0.02,0.0899216178804636,0.0008937324964790605,2.7104755872642272e-05
100400,0.041108971927315,,1.1363793320239162e-06,5.681896660119581e-07,5.0,0.02,0.08297393657267094,0.0012401234998833388,0.0002668829765752889
100600,0.03999740397557616,,1.123748849899154e-06,5.61874424949577e-07,5.0,0.02,0.10126616060733795,0.0003249685178161599,0.00012268909244994575
100800,0.043097573798149824,,1.1112361554139003e-06,5.556180777069502e-07,5.0,0.02,0.10534320399165154,0.0011044033653888619,0.00016620147880530567
101000,0.04256536532193422,,1.0988416057545454e-06,5.494208028772727e-07,5.0,0.02,0.10400394070893526,0.0014759747018615599,7.748195821477566e-05
101200,0.03914317116141319,,1.086565554734923e-06,5.432827773674615e-07,5.0,0.02,0.0895365783944726,0.0006507493558700617,1.5767864397275844e-05
101400,0.02926001837477088,,1.0744083527862184e-06,5.372041763931092e-07,5.0,0.02,0.08777722902595997,0.0005012638484771514,0.0002587752678664401
101600,0.04043658496811986,,1.0623703469469572e-06,5.311851734734786e-07,5.0,0.02,0.11138348281383514,0.0019182490650564432,5.944184113104711e-05
101800,0.04095506714656949,,1.0504518808531041e-06,5.252259404265521e-07,5.0,0.02,0.08773327432572842,0.0006144062954263063,0.00026736766267276835
102000,0.04732752125710249,,1.0386532947282496e-06,5.193266473641248e-07,5.0,0.02,0.08736146800220013,0.0008124880187097006,5.316904889696161e-05
102200,0.03154078684747219,,1.026974925373904e-06,5.13487462686952e-07,5.0,0.02,0.08201898820698261,0.0003585293852665927,6.368846015902818e-05
102400,0.04144809301942587,,1.0154171061598752e-06,5.077085530799376e-07,5.0,0.02,0.09782259538769722,0.0012897960830287047,0.0001015264674606442
102600,0.03334258031100035,,1.0039801670147572e-06,5.019900835073786e-07,5.0,0.02,0.0860046949237585,0.0006472863897215575,7.887973674769455e-05
102800,0.03802656475454569,,9.92664434416514e-07,4.96332217208257e-07,5.0,0.02,0.11199454218149185,0.0004983039252692834,0.00021524178623621992
103000,0.04294742317870259,,9.81470231383152e-07,4.90735115691576e-07,5.0,0.02,0.07977251429110765,0.001377321663312614,0.00015947279916872503
103200,0.037740268278867006,,9.703978774635096e-07,4.851989387317548e-07,5.0,0.02,0.07554698921740055,0.0008194253446163202,0.0001469924704906589
103400,0.03176722256466746,,9.594476887281263e-07,4.797238443640632e-07,5.0,0.02,0.06523484084755182,0.0012283746036700904,5.752346055487578e-05
103600,0.03274180507287383,,9.486199777602254e-07,4.743099888801127e-07,5.0,0.02,0.08908000960946083,0.00036174408359102017,7.590760674247576e-05
103800,0.03509673569351435,,9.37915053646788e-07,4.68957526823394e-07,5.0,0.02,0.0883657205849886,0.0010999831138178706,0.00025314285085187294
104000,0.03643976058810949,,9.273332219697343e-07,4.6366661098486713e-07,5.0,0.02,0.09247000329196453,0.0005520828426597291,0.00024061442491074558
104200,0.05282578896731138,,9.168747847971946e-07,4.584373923985973e-07,5.0,0.02,0.12017576675862074,0.002181797979574185,0.00011346072460582945
104400,0.035560631193220615,,9.065400406748912e-07,4.532700203374456e-07,5.0,0.02,0.076718395575881,0.0011624090184341185,5.999011113999586e-05
104600,0.041971467435359955,,8.963292846176132e-07,4.481646423088066e-07,5.0,0.02,0.08353062532842159,0.0005405201482062694,0.00017767733061191393
104800,0.04110766015946865,,8.862428081007979e-07,4.4312140405039896e-07,5.0,0.02,0.09578136634081602,0.0009376028046972351,9.262519733965746e-05
105000,0.028290840331465006,,8.762808990522056e-07,4.381404495261028e-07,5.0,0.02,0.09840171784162521,6.784586162211781e-05,0.0001815152018025401
105200,0.04531874693930149,,8.664438418437077e-07,4.3322192092185384e-07,5.0,0.02,0.10807080753147602,0.0016765472519182367,0.0002529871017031837
