step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,1.0207332372665405,,1.3333333333333333e-05,,5.0,0.02,0.5,,,,
400,0.6321489810943604,,2.6666666666666667e-05,,5.0,0.02,0.5,,,,
600,0.5223432183265686,,4e-05,,5.0,0.02,0.5,,,,
800,0.4889864921569824,,5.333333333333333e-05,,5.0,0.02,0.5,,,,
1000,0.29685550928115845,0.8401021659374237,6.666666666666667e-05,,5.0,0.02,0.5,,,,
1200,0.27328020334243774,,8e-05,,5.0,0.02,0.5,,,,
1400,0.21993502974510193,,9.333333333333334e-05,,5.0,0.02,0.5,,,,
1600,0.2565267086029053,,9.999956610162866e-05,,5.0,0.02,0.5,,,,
1800,0.22568537294864655,,9.999609496222017e-05,,5.0,0.02,0.5,,,,
2000,0.204403355717659,0.299929341673851,9.998915293706463e-05,,5.0,0.02,0.5,,,,
2200,0.2232874035835266,,9.997874053346641e-05,,5.0,0.02,0.5,,,,
2400,0.20510025322437286,,9.996485851233572e-05,,5.0,0.02,0.5,,,,
2600,0.28616082668304443,,9.994750788813297e-05,,5.0,0.02,0.5,,,,
2800,0.12923231720924377,,9.992668992879474e-05,,5.0,0.02,0.5,,,,
3000,0.1215696632862091,0.2012721300125122,9.990240615564099e-05,,5.0,0.02,0.5,,,,
3200,0.19628435373306274,,9.987465834326395e-05,,5.0,0.02,0.5,,,,
3400,0.18767808377742767,,9.98434485193985e-05,,5.0,0.02,0.5,,,,
3600,0.11847281455993652,,9.980877896477386e-05,,5.0,0.02,0.5,,,,
3800,0.20327842235565186,,9.977065221294701e-05,,5.0,0.02,0.5,,,,
4000,0.20812980830669403,0.1772230438888073,9.972907105011755e-05,,5.0,0.02,0.5,,,,
4200,0.14926443994045258,,9.968403851492401e-05,,5.0,0.02,0.5,,,,
4400,0.09923319518566132,,9.963555789822187e-05,,5.0,0.02,0.5,,,,
4600,0.12113770097494125,,9.958363274284309e-05,,5.0,0.02,0.5,,,,
4800,0.19227604568004608,,9.952826684333709e-05,,5.0,0.02,0.5,,,,
5000,0.171907439827919,0.1670498050749302,9.94694642456936e-05,,5.0,0.02,0.5,,,,
5200,0.16690558195114136,,9.940722924704692e-05,,5.0,0.02,0.5,,,,
5400,0.1257297396659851,,9.934156639536187e-05,,5.0,0.02,0.5,,,,
5600,0.11712391674518585,,9.927248048910148e-05,,5.0,0.02,0.5,,,,
5800,0.12468239665031433,,9.919997657687633e-05,,5.0,0.02,0.5,,,,
6000,0.1079733744263649,0.14742055758833886,9.912405995707561e-05,,5.0,0.02,0.5,,,,
6200,0.226955384016037,,9.904473617747991e-05,,5.0,0.02,0.5,,,,
6400,0.0928230881690979,,9.896201103485577e-05,,5.0,0.02,0.5,,,,
6600,0.07135828584432602,,9.88758905745322e-05,,5.0,0.02,0.5,,,,
6800,0.11390441656112671,,9.878638108995874e-05,,5.0,0.02,0.5,,,,
7000,0.11933230608701706,0.10823695957660676,9.869348912224569e-05,,5.0,0.02,0.5,,,,
7200,0.09571246802806854,,9.859722145968595e-05,,5.0,0.02,0.5,,,,
7400,0.09465184807777405,,9.849758513725912e-05,,5.0,0.02,0.5,,,,
7600,0.1864602267742157,,9.839458743611731e-05,,5.0,0.02,0.5,,,,
7800,0.13071724772453308,,9.828823588305303e-05,,5.0,0.02,0.5,,,,
8000,0.13377486169338226,0.13440437838435174,9.817853824994923e-05,,5.0,0.02,0.5,,,,
8200,0.12098754942417145,,9.806550255321126e-05,,5.0,0.02,0.5,,,,
8400,0.08447295427322388,,9.794913705318118e-05,,5.0,0.02,0.5,,,,
8600,0.09119703620672226,,9.782945025353395e-05,,5.0,0.02,0.5,,,,
8800,0.09760196506977081,,9.770645090065616e-05,,5.0,0.02,0.5,,,,
9000,0.06702632457017899,0.08562250062823296,9.758014798300676e-05,,5.0,0.02,0.5,,,,
9200,0.07975446432828903,,9.74505507304603e-05,,5.0,0.02,0.5,,,,
9400,0.08575670421123505,,9.731766861363235e-05,,5.0,0.02,0.5,,,,
9600,0.09478604048490524,,9.718151134318743e-05,,5.0,0.02,0.5,,,,
9800,0.08346456289291382,,9.704208886912943e-05,,5.0,0.02,0.5,,,,
10000,0.08427971601486206,0.0826886884868145,9.689941138007448e-05,,5.0,0.02,0.5,,,,
10200,0.06944523751735687,,9.675348930250632e-05,,5.0,0.02,0.5,,,,
10400,0.14302875101566315,,9.660433330001446e-05,,5.0,0.02,0.5,,,,
10600,0.08427663147449493,,9.645195427251484e-05,,5.0,0.02,0.5,,,,
10800,0.08203963935375214,,9.629636335545335e-05,,5.0,0.02,0.5,,,,
11000,0.11011812090873718,0.06883575432002545,9.613757191899203e-05,,5.0,0.02,0.5,,,,
11200,0.08505748212337494,,9.59755915671782e-05,,5.0,0.02,0.5,,,,
11400,0.08542686700820923,,9.581043413709646e-05,,5.0,0.02,0.5,,,,
11600,0.10849770903587341,,9.564211169800367e-05,,5.0,0.02,0.5,,,,
11800,0.08971544355154037,,9.547063655044699e-05,,5.0,0.02,0.5,,,,
12000,0.057294659316539764,0.07797657959163189,9.529602122536491e-05,,5.0,0.02,0.5,,,,
12200,0.14064425230026245,,9.51182784831716e-05,,5.0,0.02,0.5,,,,
12400,0.07020103186368942,,9.49374213128244e-05,,5.0,0.02,0.5,,,,
12600,0.06160157173871994,,9.475346293087458e-05,,5.0,0.02,0.5,,,,
12800,0.05039279907941818,,9.456641678050154e-05,,5.0,0.02,0.5,,,,
13000,0.06627924740314484,0.0684144951403141,9.437629653053043e-05,,5.0,0.02,0.5,,,,
13200,0.06279244273900986,,9.41831160744333e-05,,5.0,0.02,0.5,,,,
13400,0.09265213459730148,,9.398688952931367e-05,,5.0,0.02,0.5,,,,
13600,0.05255760997533798,,9.378763123487505e-05,,5.0,0.02,0.5,,,,
13800,0.06177346035838127,,9.358535575237295e-05,,5.0,0.02,0.5,,,,
14000,0.057214848697185516,0.07052971199154853,9.338007786355078e-05,,5.0,0.02,0.5,,,,
14200,0.1019546240568161,,9.317181256955967e-05,,5.0,0.02,0.5,,,,
